ID,PaperID,Authors
429,1732544, 'Richard M. Mcdermid'
430,1732544, 'Bryan Miller'
431,1732544, 'Reynier Peletier'
432,1732544, 'Ellen Verolme'
433,1732544, 'Tim de Zeeuw'
434,1732545,'V. Motta'
435,1732545, 'E. Mediavilla'
436,1732545, 'JA Munoz'
437,1732545, 'Emilio Falco'
438,1732545, 'C. S. Kochanek'
439,1732545, 'S. Arribas'
440,1732545, 'Begona Garcia Lorenzo'
441,1732545, 'A. Oscoz'
442,1732545, 'and M. Serra-Ricart'
443,1732546,'Daniel Duque\nUniversidad Politécnica de Madrid'
444,1732546, 'Pedro Tarazona\nUniversidad Autónoma de Madrid'
445,1732546, 'Enrique Chacón'
446,1732547,'R Di Leonardo'
447,1732547, 'F Saglimbeni'
448,1732547, 'G Ruocco'
449,1732548,'Elio Conte\nSchool of Advanced International Studies on Applied Theoretical and non Linear Methodologies of Physics'
450,1732549,'Kathryne J. Daniel Tolfree\nSwarthmore College'
451,1732549, 'Jeffrey L. Linsky'
452,1732549, 'Marc Gagne\nWest Chester University'
453,1732550,'M. Revnivtsev'
454,1732550, 'M. Gilfanov'
455,1732550, 'E. Churazov'
456,1732550, 'R. Sunyaev'
457,1732551,'Eva Schinnerer'
458,1732551, 'Witold Maciejewski'
459,1732551, 'N. Z. Scoville\nCalifornia Institute of Technology'
460,1732551, 'Leonidas Moustakas\nCalifornia Institute of Technology'
461,1732552,'S. J. LaRoque'
462,1732552, 'J. E. Carlstrom'
463,1732552, 'E. D. Reese'
464,1732552, 'Gilbert Holder\nMcGill University'
465,1732553,'Raman jeet Kaur\nPunjab Agricultural University'
466,1732553, 'Biswajit Paul\nRaman Research Institute'
467,1732553, 'Brijesh Kumar\nAryabhatta Research Institute of Observational Sciences'
468,1732553, 'Ram Sagar\nIndian Institute of Astrophysics'
469,1732554,'O. Fialko'
470,1732554, 'K. Ziegler\nUniversität Augsburg'
471,1732555,'Andrzej A Zdziarski'
472,1732555, 'Juri Poutanen\nUniversity of Oulu'
473,1732555, 'William S. Paciesas\nUniversities Space Research Association'
474,1732555, 'Linqing Wen'
475,1732556,'Massimo Ricotti\nUniversity of Maryland
476,1732556, College Park'
477,1732556, 'Andrea Ferrara\nScuola Normale Superiore di Pisa'
478,1732557,'W. D. Watson'
479,1732557, 'A. P. Sarma'
480,1732557, 'M. S. Singleton'
481,1732558,'Andrew Blain\nUniversity of Leicester'
482,1732559,'Rennan Barkana'
483,1732559, 'Abraham Loeb'
484,1732560,'Ray Jayawardhana'
485,1732560, 'Wayne S. Holland'
486,1732560, 'Paul Kalas'
487,1732560, 'Jane Greaves\nUniversity of St Andrews'
488,1732561,'SA Yost'
489,1732561, 'DA Frail'
490,1732561, 'FA Harrison'
491,1732561, 'Rita Kartika Sari'
492,1732561, 'D. Reichart'
493,1732561, 'J. S. Bloom'
494,1732561, 'S. R. Kulkarni'
495,1732561, 'G. H. Moriarty-Schieven'
496,1732561, 'George Djorgovski'
497,1732561, 'PA Price'
498,1732561, 'R. W. Goodrich'
499,1732561, 'J. E. Larkin'
500,1732561, 'F. Walter'
501,1732561, 'D. S. Shepherd'
502,1732561, 'Derek B. Fox'
503,1732561, 'G. B. Taylor'
504,1732561, 'E. Berger'
505,1732561, 'Titus Galama'
506,1732562,'Steve B. Howell'
507,1732562, 'Robert Fried'
508,1732562, 'Paula Szkody'
509,1732562, 'Martin M. Sirk'
510,1732562, 'Gary Schmidt'
511,1732563,'Sumedha Sumedha\nNational Institute of Science Education and Research'
512,1732563, 'Martin Weigt'
513,1732564,'Aldo Covello\nUniversity of Naples Federico II'
514,1732564," 'L. Coraggio\nUniversità degli Studi della Campania ""Luigi Vanvitelli'"
515,1732564, 'A. Gargano\nINFN - Istituto Nazionale di Fisica Nucleare'
516,1732564," 'Nunzio Itaco\nUniversità degli Studi della Campania ""Luigi Vanvitelli'"
517,1732565,'Ju\u2006n\u2006jun Wan'
518,1732565, 'M. Cahay\nUniversity of Cincinnati'
519,1732565, 'Supriyo Bandyopadhyay\nVirginia Commonwealth University'
520,1732566,'Bruce Elmegreen\nIBM'
521,1732566, 'J. Palouš'
522,1732566, 'S. Ehlerová'
523,1732567,'Stanislav Boldyrev\nUniversity of Wisconsin–Madison'
524,1732567, 'Carl Gwinn\nUniversity of California
525,1732567, Santa Barbara'
526,1732568,'Ming-Huey A. Huang\nNational United University'
527,1732569,'O. Vilhu'
528,1732570,'D. H. Lumb'
529,1732570, 'R. S. Warwick'
530,1732570, 'Page M. J.'
531,1732570, 'Andrea De Luca\nUniversità degli Studi di Siena'
532,1732571,'Jozef Klacka'
533,1732572,'D. Herranz'
534,1732572, 'J. L. Sanz'
535,1732572, 'Ramon Barreiro\nUniversidad Islas Baleares'
536,1732572, 'Enrique Martinez-Gonzalez\nSpanish National Research Council'
537,1732573,'Abha Dev\nMiranda House
538,1732573, University of Delhi
539,1732573, India'
540,1732573, 'Margarita Safonova\nIndian Institute of Astrophysics'
541,1732573, 'Deepak Jain'
542,1732573, 'Daksh Lohiya\nUniversity of Delhi'
543,1732574,'Christopher M. Johns-Krull\nRice University'
544,1732574, 'April D. Gafford'
